recid,hospid,hosp_level,statecode,state,districtcode,district,overall_prep_score
436,703,L2,13,Haryana,004,Faridabad,49.73
1398,880,L2,13,Haryana,001,Ambala,47.2
918,3,L3,13,Haryana,001,Ambala,20.75
913,442,L3,13,Haryana,016,Panchkula,26.03
569,425,L3,13,Haryana,014,Nuh,6.35
929,884,L3,13,Haryana,020,Sirsa,18.4
1320,1309,L3,32,West Bengal,194,Purba mednipur,17.63
631,101,L2,13,Haryana,006,Gurugram,24.43
928,917,L2,13,Haryana,018,Rewari,57.05
427,196,L3,13,13,022,022,39.98
630,590,L2,13,Haryana,022,Yamuna Nagar,47.13
652,817,L2,13,Haryana,020,Sirsa,42.6
447,495,L2,13,Haryana,017,Panipat,8.43
1206,1060,L3,29,Tamil Nadu,033,Kallakurichi,11.18
924,30,L2,13,Haryana,001,Ambala,48.33
537,598,L2,13,Haryana,022,Yamuna Nagar,38.63
380,194,L3,13,Haryana,022,Yamuna Nagar,1.88
650,807,L2,13,Haryana,020,Sirsa,51.33
675,467,L3,13,Haryana,017,Panipat,4.38
1182,880,L2,13,Haryana,001,Ambala,70.53
343,497,NA,13,Haryana,017,Panipat,NULL
1294,1300,L3,29,Tamil Nadu,036,Karur,0.7
540,684,L3,13,Haryana,004,Faridabad,10.78
1071,901,L3,13,Haryana,008,Jhajjar,0
392,355,L3,13,Haryana,012,Kurukshetra,15.65
699,626,L3,13,Haryana,018,Rewari,15.1
1244,1093,L3,29,Tamil Nadu,033,Kallakurichi,38.7
1051,911,L2,13,Haryana,018,Rewari,24.75
355,284,L3,13,Haryana,011,Karnal,27.1
357,275,L3,13,Haryana,010,Kaithal,4.35
437,694,L3,13,Haryana,004,Faridabad,8.5
1033,950,L3,13,Haryana,002,Bhiwani,13.5
658,833,L2,13,Haryana,020,Sirsa,51.93
695,620,L3,13,Haryana,018,Rewari,4.68
324,315,L2,13,Haryana,011,Karnal,1.4
319,487,L2,13,Haryana,017,Panipat,51.4
954,793,L3,13,Haryana,005,Fatehabad,2.33
1326,255,L2,13,Haryana,009,Jind,29.03
609,581,L2,13,Haryana,022,Yamuna Nagar,32.88
426,732,L2,13,Haryana,010,Kaithal,47.45
1079,891,L2,13,Haryana,012,Kurukshetra,48.58
442,719,L3,13,Haryana,010,Kaithal,5.6
1111,1002,L2,13,Haryana,005,Fatehabad,0
581,414,L3,13,Haryana,014,Nuh,26.08
1293,1214,L3,13,Haryana,015,Palwal,9.9
592,829,L2,13,Haryana,020,Sirsa,54.7
509,674,L2,13,Haryana,019,Rohtak,45.73
521,267,L3,13,Haryana,010,Kaithal,24.95
467,558,L3,13,Haryana,020,Sirsa,19.4
1102,796,L3,13,Haryana,005,Fatehabad,16.18
1076,996,L2,13,Haryana,004,Faridabad,0
1300,1302,L1,32,West Bengal,194,Purba mednipur,40.53
624,867,L2,13,Haryana,004,Faridabad,40.45
708,619,L3,13,Haryana,018,Rewari,18.9
934,913,L2,13,Haryana,018,Rewari,48.55
673,285,L3,13,Haryana,011,Karnal,26.43
999,857,L3,13,Haryana,004,Faridabad,6.8
735,38,L3,13,Haryana,001,Ambala,36.4
963,104,L3,13,Haryana,007,Hisar,17.98
555,595,L2,13,Haryana,022,Yamuna Nagar,31.2
1387,1313,L3,32,West Bengal,194,Purba mednipur,9.8
424,179,L3,13,13,022,022,26.25
1187,880,L2,13,Haryana,001,Ambala,50.65
607,808,L2,13,Haryana,020,Sirsa,30.28
629,829,L2,13,Haryana,020,Sirsa,54.7
402,737,L2,13,Haryana,010,Kaithal,0
491,564,L3,13,Haryana,020,Sirsa,18.6
978,215,L2,13,Haryana,008,Jhajjar,0
369,493,L2,13,Haryana,017,Panipat,36.4
1286,1208,L3,13,Haryana,015,Palwal,12.15
710,349,L3,13,Haryana,011,Karnal,23.6
1200,1100,L3,29,Tamil Nadu,033,Kallakurichi,15.25
322,343,L2,13,Haryana,011,Karnal,15.15
308,77,L2,13,Haryana,006,Gurugram,0
1291,1295,L3,29,Tamil Nadu,036,Karur,11.93
1295,1290,L3,32,West Bengal,194,Purba mednipur,18.78
1267,1046,L3,19,Maharashtra,154,Satara,15.95
551,602,L2,13,Haryana,022,Yamuna Nagar,29.35
489,663,L1,13,Haryana,019,Rohtak,49.55
1310,1292,L3,32,West Bengal,194,Purba mednipur,13.05
688,731,L2,13,Haryana,010,Kaithal,61.78
1341,617,L2,13,Haryana,009,Jind,37.53
1052,131,L3,13,Haryana,007,Hisar,8
1199,1027,L2,02,Andhra Pradesh ,123,Guntur,28.6
395,740,L2,13,Haryana,010,Kaithal,21.28
1155,300,L3,13,Haryana,011,Karnal,4.7
781,721,L3,13,Haryana,010,Kaithal,25
1152,141,L2,13,Haryana,007,Hisar,52.85
986,779,L3,13,Haryana,005,Fatehabad,15.2
626,604,L2,13,Haryana,022,Yamuna Nagar,46.08
1221,1081,L3,29,Tamil Nadu,033,Kallakurichi,16.78
645,816,L1,13,Haryana,020,Sirsa,29.3
1064,908,L3,13,Haryana,018,Rewari,16.93
370,514,L2,13,Haryana,017,Panipat,0
759,726,L3,13,Haryana,010,Kaithal,21.08
1345,264,L2,13,Haryana,009,Jind,31.85
438,608,L2,13,Haryana,022,Yamuna Nagar,43.13
718,822,L2,13,Haryana,020,Sirsa,50.9
363,668,L2,13,Haryana,019,Rohtak,0
709,622,L3,13,Haryana,018,Rewari,16.13
1228,1094,L3,29,Tamil Nadu,033,Kallakurichi,13.95
1005,119,L3,13,Haryana,007,Hisar,12.68
381,195,L3,13,Haryana,022,Yamuna Nagar,10.38
689,733,L2,13,13,010,010,51.68
553,607,L2,13,Haryana,022,Yamuna Nagar,43.9
1258,1043,L3,19,Maharashtra,154,Satara,19.05
1100,798,L3,13,Haryana,005,Fatehabad,13.73
755,537,L3,13,Haryana,018,Rewari,17.43
1057,129,L3,13,Haryana,007,Hisar,16.55
568,599,L2,13,Haryana,022,Yamuna Nagar,53.28
736,466,L3,13,Haryana,017,Panipat,17.28
648,664,L2,13,Haryana,019,Rohtak,41.8
557,609,L2,13,Haryana,022,Yamuna Nagar,37.15
377,279,L3,13,Haryana,010,Kaithal,25.35
959,936,L3,13,Haryana,002,Bhiwani,0
1272,880,L2,13,Haryana,001,Ambala,52.65
1020,949,L3,13,Haryana,002,Bhiwani,5.65
1075,368,L3,13,Haryana,012,Kurukshetra,15.45
575,435,L3,13,Haryana,014,Nuh,18.4
1120,639,L3,13,Haryana,019,Rohtak,14.68
634,337,L2,13,Haryana,011,Karnal,0
1279,880,L2,13,Haryana,001,Ambala,55.8
389,501,L2,13,Haryana,017,Panipat,22.25
1134,94,L3,13,Haryana,006,Gurugram,14.85
664,826,L2,13,Haryana,020,Sirsa,30.98
287,217,L1,13,Haryana,008,Jhajjar,0
676,309,L2,13,Haryana,011,Karnal,0
1364,880,L2,13,Haryana,001,Ambala,46.65
1358,242,L3,13,Haryana,009,Jind,10.45
598,725,L3,13,Haryana,010,Kaithal,15.15
1203,1058,L3,29,Tamil Nadu,033,Kallakurichi,0
1239,1070,L3,29,Tamil Nadu,033,Kallakurichi,11.7
950,970,L3,13,Haryana,002,Bhiwani,0.58
1411,1207,L3,19,Maharashtra,155,Kolhapur,26.08
1202,1100,L3,29,Tamil Nadu,033,Kallakurichi,15.25
761,22,L3,13,Haryana,001,Ambala,4.08
1333,1315,L3,32,West Bengal,194,Purba mednipur,12.55
952,956,L3,13,Haryana,002,Bhiwani,12.55
1208,1064,L3,29,Tamil Nadu,033,Kallakurichi,12.05
285,613,L3,00,Test state,001,Test district,0
820,212,L3,13,Haryana,008,Jhajjar,11.15
396,294,L3,13,Haryana,011,Karnal,28.53
836,105,L3,13,Haryana,007,Hisar,22.48
549,850,L2,13,Haryana,019,Rohtak,52.68
1142,74,L3,13,Haryana,006,Gurugram,9.4
1042,135,L3,13,Haryana,007,Hisar,13.83
787,887,L2,13,Haryana,012,Kurukshetra,35.6
724,885,L2,13,Haryana,020,Sirsa,27.03
1289,1212,L3,13,Haryana,015,Palwal,4.78
420,572,L3,13,Haryana,020,Sirsa,50.9
773,540,L3,13,Haryana,018,Rewari,10.8
