recid,hospid,hosp_level,statecode,state,districtcode,district,overall_prep_score
1288,1266,L3,32,West Bengal,194,Purba mednipur,40.05
845,359,L3,13,Haryana,012,Kurukshetra,15.15
1275,1220,L3,13,Haryana,015,Palwal,15.5
1023,736,L2,13,Haryana,010,Kaithal,49.93
617,669,L2,13,Haryana,019,Rohtak,0
1185,880,L2,13,Haryana,001,Ambala,50.65
804,188,L3,13,Haryana,022,Yamuna Nagar,3.03
767,4,L3,13,Haryana,001,Ambala,25.43
329,159,L2,13,Haryana,007,Hisar,57.18
1205,1071,L3,29,Tamil Nadu,033,Kallakurichi,18.25
286,503,NA,13,Haryana,017,Panipat,NULL
1321,976,L3,13,Haryana,009,Jind,7.03
807,896,L2,13,Haryana,001,Ambala,37.43
596,608,L2,13,Haryana,022,Yamuna Nagar,43.13
1229,1073,L3,29,Tamil Nadu,033,Kallakurichi,12.3
834,569,L3,13,Haryana,020,Sirsa,13.2
962,108,L3,13,Haryana,007,Hisar,17.48
873,924,L2,13,Haryana,001,Ambala,38.68
731,461,L3,13,Haryana,017,Panipat,16.53
478,559,L3,13,Haryana,020,Sirsa,7.08
412,354,L3,13,Haryana,012,Kurukshetra,22.1
