"accident_id_sp","year","latitude_sp","longitude_sp","severity","state_name","district_name","station_name","state_code","district_code","station_code"
"202513231510013","2025","29.672774532486","76.999130145166","Minor Injury Hospitalized","HARYANA","KARNAL","KARNAL CITY","13","231","51"
"202513227410023","2025","28.440935050233","76.848210990402","Minor Injury Hospitalized","HARYANA","GURUGRAM","FURRUKH NAGAR","13","227","41"
"202513223210004","2025","28.79989332219","76.11115694046","Minor Injury Hospitalized","HARYANA","BHIWANI","BHIWANI CITY","13","223","21"
"202413239090032","2024","28.992770009661","77.037200331688","Grievous Injury","HARYANA","SONIPAT","Sector 27","13","239","09"
"202413231830014","2024","29.697244253023","76.965042336842","Minor Injury Hospitalized","HARYANA","KARNAL","RAM NAGAR KARNAL","13","231","83"
"202413231510020","2024","29.668992949724","76.989329917782","Grievous Injury","HARYANA","KARNAL","KARNAL CITY","13","231","51"
"202413225890021","2024","28.380871350018","77.328836917877","Fatal","HARYANA","FARIDABAD","SECTOR - 7","13","225","89"
"202413257270024","2024","28.611902615947","76.640667586657","Grievous Injury","HARYANA","JHAJJAR","DUJANA","13","257","27"
"202513235620010","2025","30.684112094887","76.860908791423","Grievous Injury","HARYANA","PANCHKULA","Sec 5","13","235","62"
"2024132271100007","2024","28.406953670114","77.091879844666","Fatal","HARYANA","GURUGRAM","SECTOR-65","13","227","110"
"202513223240055","2025","29.013835633809","76.186167597771","Fatal","HARYANA","BHIWANI","SADAR THANA BHIWANI","13","223","24"
"202513231840015","2025","29.695856406652","77.022960337754","Grievous Injury","HARYANA","KARNAL","SECTOR 32-33 KARNAL","13","231","84"
"202513239710012","2025","28.992880275218","76.992125809193","Minor Injury Hospitalized","HARYANA","SONIPAT","SONIPAT CITY","13","239","71"
"202513257070022","2025","28.689745312335","76.942566633225","Grievous Injury","HARYANA","JHAJJAR","CITY BAHADURGARH","13","257","07"
"202513229060024","2025","29.115434456574","75.689513683319","Fatal","HARYANA","HISAR","AZAD NGR HISAR","13","229","06"
"202513234150019","2025","29.240766049953","76.89022064209","Minor Injury Hospitalized","HARYANA","PANIPAT","ISRANA","13","234","15"
"202413227810006","2024","28.271547521794","76.663865053501","Grievous Injury","HARYANA","GURUGRAM","PATAUDI","13","227","81"
"202513239660020","2025","28.929810309315","77.09415435791","Grievous Injury","HARYANA","SONIPAT","RAI","13","239","66"
"202413231050004","2024","29.5138935","76.5966805","Minor Injury Hospitalized","HARYANA","KARNAL","ASSANDH","13","231","05"
"202513230030004","2025","29.549071906266","76.372232437134","Grievous Injury","HARYANA","JIND","ALEWA","13","230","03"
"202513236050036","2025","28.074455806076","76.576091051102","Minor Injury Hospitalized","HARYANA","REWARI","BAWAL","13","236","05"
"202313236280019","2023","28.295485569815","76.381171347122","Grievous Injury","HARYANA","REWARI","KHOL","13","236","28"
"202513227860001","2025","28.480913789331","77.031497955322","Minor Injury Hospitalized","HARYANA","GURUGRAM","SECTOR-5, GURGAON","13","227","86"
"202513227750007","2025","28.498511787191","76.976271271706","Grievous Injury","HARYANA","GURUGRAM","RAJENDRA PARK","13","227","75"
"202513225070006","2025","28.307483684272","77.367213964462","Fatal","HARYANA","FARIDABAD","BALLABHGARH SADAR","13","225","07"
"202413223510004","2024","28.4285301","75.8161705","Grievous Injury","HARYANA","BHIWANI","LOHARU","13","223","51"
"202413223510003","2024","28.531797333058","75.72569668293","Fatal","HARYANA","BHIWANI","LOHARU","13","223","51"
"202413232260017","2024","30.044318567768","76.631569862366","Grievous Injury","HARYANA","KURUKSHETRA","ISMAILABAD","13","232","26"
"202413231560069","2024","29.686371988584","76.908372065727","Fatal","HARYANA","KARNAL","KARNAL SADAR","13","231","56"
"202513236050032","2025","28.062614952952","76.543988550711","Grievous Injury","HARYANA","REWARI","BAWAL","13","236","05"
"202413225120022","2024","28.281561162153","77.437353730202","Fatal","HARYANA","FARIDABAD","CHHANSA","13","225","12"
"202513260100062","2025","28.130598315868","77.385776621522","Grievous Injury","HARYANA","PALWAL","ps chandhut","13","260","10"
"202413221550025","2024","30.479178933952","77.132896305959","Fatal","HARYANA","AMBALA","NARAINGARH","13","221","55"
"202413232260016","2024","30.073843115521","76.669769883156","Grievous Injury","HARYANA","KURUKSHETRA","ISMAILABAD","13","232","26"
